path	status	mode_diff	edgeric_mode	sionna_mode
executables/edgeric/CMakeLists.txt	EdgeRIC-only	False	100755	
executables/edgeric/control_mcs.pb.cc	EdgeRIC-only	False	100755	
executables/edgeric/control_mcs.pb.h	EdgeRIC-only	False	100755	
executables/edgeric/control_weights.pb.cc	EdgeRIC-only	False	100755	
executables/edgeric/control_weights.pb.h	EdgeRIC-only	False	100755	
executables/edgeric/edgeric.cpp	EdgeRIC-only	False	100755	
executables/edgeric/edgeric.h	EdgeRIC-only	False	100755	
executables/edgeric/metrics.pb.cc	EdgeRIC-only	False	100755	
executables/edgeric/metrics.pb.h	EdgeRIC-only	False	100755	
executables/edgeric/wrapper.cpp	EdgeRIC-only	False	100755	
executables/edgeric/wrapper.h	EdgeRIC-only	False	100755	
executables/lte-enb.c	content-different	True	100755	100644
executables/lte-ru.c	content-different	True	100755	100644
executables/lte-softmodem.c	content-different	True	100755	100644
executables/lte-softmodem.h	content-different	True	100755	100644
executables/lte-ue.c	content-different	True	100755	100644
executables/lte-uesoftmodem.c	content-different	True	100755	100644
executables/main_ru.c	content-different	True	100755	100644
executables/nr-cuup.c	content-different	True	100755	100644
executables/nr-gnb.c	content-different	True	100755	100644
executables/nr-ru.c	content-different	True	100755	100644
executables/nr-softmodem-common.h	content-different	True	100755	100644
executables/nr-softmodem.c	content-different	True	100755	100644
executables/nr-softmodem.h	content-different	True	100755	100644
executables/nr-ue.c	content-different	True	100755	100644
executables/nr-uesoftmodem.c	content-different	True	100755	100644
executables/nr-uesoftmodem.h	content-different	True	100755	100644
executables/position_interface.c	Sionna-only	False		100644
executables/position_interface.h	Sionna-only	False		100644
executables/rt_profiling.h	EdgeRIC-only	False	100755	
executables/ru_control.c	content-different	True	100755	100644
executables/softmodem-common.c	content-different	True	100755	100644
executables/softmodem-common.h	content-different	True	100755	100644
nfapi/CMakeLists.txt	content-different	True	100755	100644
nfapi/oai_integration/aerial/CMakeLists.txt	content-different	True	100755	100644
nfapi/oai_integration/aerial/fapi_nvIPC.c	content-different	True	100755	100644
nfapi/oai_integration/aerial/fapi_nvIPC.h	content-different	True	100755	100644
nfapi/oai_integration/aerial/fapi_vnf_p5.c	EdgeRIC-only	False	100755	
nfapi/oai_integration/aerial/fapi_vnf_p5.h	EdgeRIC-only	False	100755	
nfapi/oai_integration/aerial/fapi_vnf_p7.c	content-different	True	100755	100644
nfapi/oai_integration/aerial/fapi_vnf_p7.h	content-different	True	100755	100644
nfapi/oai_integration/gnb_ind_vars.c	content-different	True	100755	100644
nfapi/oai_integration/gnb_ind_vars.h	content-different	True	100755	100644
nfapi/oai_integration/nfapi.c	content-different	True	100755	100644
nfapi/oai_integration/nfapi_pnf.c	content-different	True	100755	100644
nfapi/oai_integration/nfapi_pnf.h	content-different	True	100755	100644
nfapi/oai_integration/nfapi_vnf.c	content-different	True	100755	100644
nfapi/oai_integration/nfapi_vnf.h	content-different	True	100755	100644
nfapi/oai_integration/socket/CMakeLists.txt	Sionna-only	False		100644
nfapi/oai_integration/socket/include/socket_common.h	Sionna-only	False		100644
nfapi/oai_integration/socket/include/socket_pnf.h	Sionna-only	False		100644
nfapi/oai_integration/socket/include/socket_vnf.h	Sionna-only	False		100644
nfapi/oai_integration/socket/socket_common.c	Sionna-only	False		100644
nfapi/oai_integration/socket/socket_pnf.c	Sionna-only	False		100644
nfapi/oai_integration/socket/socket_vnf.c	Sionna-only	False		100644
nfapi/oai_integration/wls_integration/CMakeLists.txt	Sionna-only	False		100644
nfapi/oai_integration/wls_integration/include/wls_common.h	Sionna-only	False		100644
nfapi/oai_integration/wls_integration/include/wls_pnf.h	Sionna-only	False		100644
nfapi/oai_integration/wls_integration/include/wls_vnf.h	Sionna-only	False		100644
nfapi/oai_integration/wls_integration/wls_common.c	Sionna-only	False		100644
nfapi/oai_integration/wls_integration/wls_pnf.c	Sionna-only	False		100644
nfapi/oai_integration/wls_integration/wls_vnf.c	Sionna-only	False		100644
