[2023-02-06 14:55:29,682][__main__][INFO] - ********* Running Evaluation *********
[2023-02-06 14:55:29,682][__main__][INFO] - 

 PPO
[2023-02-06 14:55:29,684][__main__][INFO] - Episode 0
[2023-02-06 14:55:29,711][__main__][INFO] - state: [      0.       1. 6000000.       0.       1. 6000000.] action: tensor([-0.50,  2.93]) next_state: [ 385147.       1. 3000000.  385833.       2. 3000000.] reward: 1.184
[2023-02-06 14:55:29,713][__main__][INFO] - state: [ 385147.       1. 3000000.  385833.       2. 3000000.] action: tensor([-2.14,  1.47]) next_state: [ 384960.       1. 3000000.  385624.       1. 3000000.] reward: 1.008
[2023-02-06 14:55:29,715][__main__][INFO] - state: [ 384960.       1. 3000000.  385624.       1. 3000000.] action: tensor([-2.22,  1.51]) next_state: [ 384901.       1. 3000000.  385496.       1. 3000000.] reward: 0.584
[2023-02-06 14:55:29,717][__main__][INFO] - state: [ 384901.       1. 3000000.  385496.       1. 3000000.] action: tensor([-1.75,  1.48]) next_state: [ 384783.       1. 3000000.  385378.       1. 3000000.] reward: 1.008
[2023-02-06 14:55:29,719][__main__][INFO] - state: [ 384783.       1. 3000000.  385378.       1. 3000000.] action: tensor([-1.94,  0.86]) next_state: [ 384724.       1. 3000000.  385319.       1. 3000000.] reward: 1.008
[2023-02-06 14:55:29,721][__main__][INFO] - state: [ 384724.       1. 3000000.  385319.       1. 3000000.] action: tensor([-0.98,  1.91]) next_state: [ 384665.       1. 3000000.  385260.       1. 3000000.] reward: 0.0
[2023-02-06 14:55:29,723][__main__][INFO] - state: [ 384665.       1. 3000000.  385260.       1. 3000000.] action: tensor([-1.34,  1.42]) next_state: [ 384537.       1. 3000000.  385132.       1. 3000000.] reward: 1.168
[2023-02-06 14:55:29,725][__main__][INFO] - state: [ 384537.       1. 3000000.  385132.       1. 3000000.] action: tensor([-1.40,  1.94]) next_state: [ 384419.       1. 3000000.  385014.       1. 3000000.] reward: 1.008
[2023-02-06 14:55:29,727][__main__][INFO] - state: [ 384419.       1. 3000000.  385014.       1. 3000000.] action: tensor([-1.40,  1.67]) next_state: [ 385793.       1. 3000000.  384955.       1. 3000000.] reward: 1.008
[2023-02-06 14:55:29,729][__main__][INFO] - state: [ 385793.       1. 3000000.  384955.       1. 3000000.] action: tensor([-1.53,  0.33]) next_state: [ 385734.       1. 3000000.  384896.       1. 3000000.] reward: 1.008
[2023-02-06 14:55:29,731][__main__][INFO] - state: [ 385734.       1. 3000000.  384896.       1. 3000000.] action: tensor([-2.75,  1.49]) next_state: [ 385616.       1. 3000000.  384778.       1. 3000000.] reward: 1.008
[2023-02-06 14:55:29,732][__main__][INFO] - state: [ 385616.       1. 3000000.  384778.       1. 3000000.] action: tensor([-1.09,  2.13]) next_state: [ 385498.       2. 3000000.  384660.       1. 3000000.] reward: 1.008
[2023-02-06 14:55:29,734][__main__][INFO] - state: [ 385498.       2. 3000000.  384660.       1. 3000000.] action: tensor([-0.90,  1.83]) next_state: [ 385328.       1. 3000000.  384532.       2. 3000000.] reward: 1.184
[2023-02-06 14:55:29,736][__main__][INFO] - state: [ 385328.       1. 3000000.  384532.       2. 3000000.] action: tensor([-0.77,  1.61]) next_state: [ 385269.       2. 3000000.  385864.       1. 3000000.] reward: 0.744
[2023-02-06 14:55:29,738][__main__][INFO] - state: [ 385269.       2. 3000000.  385864.       1. 3000000.] action: tensor([0.47, 1.79]) next_state: [ 385188.       2. 3000000.  385805.       1. 3000000.] reward: 1.184
